symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;cnpj;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
GOLLG12;GOL PN, R$ 12.00, 18-07-2025;0;0;0;0;0;0;0;0;0;CALL;2025-07-18;AMERICAN;12;100;BOVESPA;2024-06-22T10:18:38.987Z;2024-06-22T10:18:38.987Z;0;1.02;BRGOLL4G08F9;7;False;2025-07-17;270;06164253000187;;0;0;1719244127000;CALL;1717013760000;12;UPGRADE REQUIRED!!!
GOLLS12;GOL PN, R$ 12.00, 18-07-2025;0;0;0;0;0;0;0;0;0;PUT;2025-07-18;EUROPEAN;12;100;BOVESPA;2024-06-22T10:18:38.403Z;2024-06-22T10:18:38.403Z;0;1.02;BRGOLL4S08G2;7;False;2025-07-17;270;06164253000187;;0;0;1719244127000;PUT;1686684137000;12;UPGRADE REQUIRED!!!
GOLLG14;GOL PN, R$ 14.00, 18-07-2025;0;0;0;0;0;0;0;0;0;CALL;2025-07-18;AMERICAN;14;100;BOVESPA;2024-06-22T10:18:38.987Z;2024-06-22T10:18:38.987Z;0;1.02;BRGOLL4G08G7;7;False;2025-07-17;270;06164253000187;;0;0;1719244127000;CALL;1712172742000;14;UPGRADE REQUIRED!!!
GOLLS14;GOL PN, R$ 14.00, 18-07-2025;0;0;0;0;0;0;0;0;0;PUT;2025-07-18;EUROPEAN;14;100;BOVESPA;2024-06-22T10:18:38.403Z;2024-06-22T10:18:38.403Z;0;1.02;BRGOLL4S08J6;7;False;2025-07-17;270;06164253000187;;0;0;1719234000000;PUT;1686684137000;14;UPGRADE REQUIRED!!!
GOLLG160;GOL PN, R$ 16.00, 18-07-2025;0;0;0;0;0;0;0;0;0;CALL;2025-07-18;AMERICAN;16;100;BOVESPA;2024-06-22T10:18:38.566Z;2024-06-22T10:18:38.566Z;0;1.02;BRGOLL4G08I3;7;False;2025-07-17;270;06164253000187;;0;0;1719244127000;CALL;1714063730000;16;UPGRADE REQUIRED!!!
GOLLS160;GOL PN, R$ 16.00, 18-07-2025;0;0;0;0;0;0;0;0;0;PUT;2025-07-18;EUROPEAN;16;100;BOVESPA;2024-06-22T10:18:38.971Z;2024-06-22T10:18:38.971Z;0;1.02;BRGOLL4S08I8;7;False;2025-07-17;270;06164253000187;;0;0;1719234000000;PUT;1686684137000;16;UPGRADE REQUIRED!!!
GOLLG180;GOL PN, R$ 18.00, 18-07-2025;0;0;0;0;0;0;0;0;0;CALL;2025-07-18;AMERICAN;0;100;BOVESPA;2024-01-31T09:31:57.311Z;2024-01-31T09:31:57.311Z;0;2.87;BRGOLL4G08H5;7;False;2025-07-17;270;06164253000187;;0;0;1719216324000;CALL;1688405145000;18;UPGRADE REQUIRED!!!
GOLLS180;GOL PN, R$ 18.00, 18-07-2025;0;0;0;0;0;0;0;0;0;PUT;2025-07-18;EUROPEAN;0;100;BOVESPA;2024-01-31T09:31:57.632Z;2024-01-31T09:31:57.632Z;0;2.87;BRGOLL4S08H0;7;False;2025-07-17;270;06164253000187;;0;0;1719216324000;PUT;1688404531000;18;UPGRADE REQUIRED!!!
GOLLL100;GOL PN, R$ 10.00, 19-12-2025;0;0;0;0;0;0;0;0;0;CALL;2025-12-19;AMERICAN;10;100;BOVESPA;2024-06-22T10:18:38.671Z;2024-06-22T10:18:38.671Z;0;1.02;BRGOLL4L08H5;7;False;2025-12-18;380;06164253000187;;0;0;1719244127000;CALL;1718730599000;10;UPGRADE REQUIRED!!!
GOLLX100;GOL PN, R$ 10.00, 19-12-2025;0;0;0;0;0;0;0;0;0;PUT;2025-12-19;EUROPEAN;10;100;BOVESPA;2024-06-22T10:18:38.847Z;2024-06-22T10:18:38.847Z;0;1.02;BRGOLL4X08H0;7;False;2025-12-18;380;06164253000187;;0;0;1719244127000;PUT;1692374241000;10;UPGRADE REQUIRED!!!
GOLLL120;GOL PN, R$ 12.00, 19-12-2025;0;0;0;0;0;0;0;0;0;CALL;2025-12-19;AMERICAN;12;100;BOVESPA;2024-06-22T10:18:38.671Z;2024-06-22T10:18:38.671Z;0;1.02;BRGOLL4L08E2;7;False;2025-12-18;380;06164253000187;;0;0;1719244127000;CALL;1718305990000;12;UPGRADE REQUIRED!!!
GOLLX120;GOL PN, R$ 12.00, 19-12-2025;0;0;0;0;0;0;0;0;0;PUT;2025-12-19;EUROPEAN;12;100;BOVESPA;2024-06-22T10:18:38.847Z;2024-06-22T10:18:38.847Z;0;1.02;BRGOLL4X08F4;7;False;2025-12-18;380;06164253000187;;0;0;1719244127000;PUT;1692374241000;12;UPGRADE REQUIRED!!!
GOLLL14;GOL PN, R$ 14.00, 19-12-2025;0;0;0;0;0;0;0;0;0;CALL;2025-12-19;AMERICAN;0;100;BOVESPA;2024-01-31T09:31:57.617Z;2024-01-31T09:31:57.617Z;0;2.87;BRGOLL4L08F9;7;False;2025-12-18;380;06164253000187;;0;0;1719216328000;CALL;1670868283000;14;UPGRADE REQUIRED!!!
GOLLX14;GOL PN, R$ 14.00, 19-12-2025;0;0;0;0;0;0;0;0;0;PUT;2025-12-19;EUROPEAN;0;100;BOVESPA;2024-01-31T09:31:57.140Z;2024-01-31T09:31:57.140Z;0;2.87;BRGOLL4X08E7;7;False;2025-12-18;380;06164253000187;;0;0;1719216328000;PUT;1671118269000;14;UPGRADE REQUIRED!!!
GOLLL160;GOL PN, R$ 16.00, 19-12-2025;0;0;0;0;0;0;0;0;0;CALL;2025-12-19;AMERICAN;0;100;BOVESPA;2024-01-31T09:31:57.393Z;2024-01-31T09:31:57.393Z;0;2.87;BRGOLL4L08G7;7;False;2025-12-18;380;06164253000187;;0;0;1719216328000;CALL;1701453490000;16;UPGRADE REQUIRED!!!
GOLLX160;GOL PN, R$ 16.00, 19-12-2025;0;0;0;0;0;0;0;0;0;PUT;2025-12-19;EUROPEAN;0;100;BOVESPA;2024-01-31T09:31:57.544Z;2024-01-31T09:31:57.544Z;0;2.87;BRGOLL4X08G2;7;False;2025-12-18;380;06164253000187;;0;0;1719216329000;PUT;1701454591000;16;UPGRADE REQUIRED!!!
