symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;lastUpdatedDividendsAt
BRKMS207;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GV6;False;EUROPEAN;BRASKEM PNA, R$ 20.75, 19-07-2024;20.75;2024-06-22T10:18:38.921Z;2.8;2024-06-22T10:18:38.921Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1718222018000;20.75;;
BRKMG210;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FV2;False;AMERICAN;BRASKEM PNA, R$ 21.00, 19-07-2024;21.0;2024-06-22T10:18:38.370Z;0.11;2024-06-22T10:18:38.370Z;1866;0.11;0.1;0.11;-21.429;17500;42150391000170;0.12;0.1;;7;17.95;0;1300;2700;1719244885000;CALL;1719243222000;21.0;;
BRKMS210;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G20;False;EUROPEAN;BRASKEM PNA, R$ 21.00, 19-07-2024;21.0;2024-06-22T10:18:38.922Z;2.84;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719235187000;PUT;1718119353000;21.0;;
BRKMG215;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GT4;False;AMERICAN;BRASKEM PNA, R$ 21.50, 19-07-2024;21.5;2024-06-22T10:18:38.370Z;0.15;2024-06-22T10:18:38.370Z;15;0.15;0.15;0.15;25.0;100;;0.09;0.02;;7;17.95;0;3000;3000;1719244082000;CALL;1719236211000;21.5;;
BRKMS215;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GO1;False;EUROPEAN;BRASKEM PNA, R$ 21.50, 19-07-2024;21.5;2024-06-22T10:18:38.922Z;3.51;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1718824064000;21.5;;
BRKMG220;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FY6;False;AMERICAN;BRASKEM PNA, R$ 22.00, 19-07-2024;22.0;2024-06-22T10:18:38.370Z;0.08;2024-06-22T10:18:38.370Z;24;0.08;0.08;0.08;0.0;300;42150391000170;0.09;0.06;;7;17.95;0;600;2700;1719244077000;CALL;1719242600000;22.0;;
BRKMS220;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G04;False;EUROPEAN;BRASKEM PNA, R$ 22.00, 19-07-2024;22.0;2024-06-22T10:18:38.922Z;3.84;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;4.09;0.0;;7;17.95;0;0;100;1719245230000;PUT;1719216325000;22.0;;
BRKMG225;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G74;False;AMERICAN;BRASKEM PNA, R$ 22.50, 19-07-2024;22.5;2024-06-22T10:18:38.371Z;0.05;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.05;0.03;;7;17.95;0;100;2100;1719244079000;CALL;1719216326000;22.5;;
BRKMS225;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GN3;False;EUROPEAN;BRASKEM PNA, R$ 22.50, 19-07-2024;22.5;2024-06-22T10:18:38.922Z;4.35;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;4.1;;7;17.95;0;2700;0;1719244079000;PUT;1718910155000;22.5;;
BRKMG227;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GW8;False;EUROPEAN;BRASKEM PNA, R$ 22.75, 19-07-2024;22.75;2024-06-22T10:18:38.371Z;0.07;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;;0.11;0.02;;7;17.95;0;500;3200;1719244676000;CALL;1718038289000;22.75;;
