symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
SBSPS825;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0C19;False;EUROPEAN;SABESP ON, R$ 81.28, 19-07-2024;81.28;2024-06-22T10:18:38.357Z;6.4;2024-06-22T10:18:38.357Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719244728000;PUT;1718651223000;81.28;
SBSPG835;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0C14;False;AMERICAN;SABESP ON, R$ 82.28, 19-07-2024;82.28;2024-06-22T10:18:38.842Z;1.33;2024-06-22T10:18:38.842Z;4101;1.46;1.21;1.4;26.667;2900;1.48;1.3;;7;74.85;0;;;6500;6500;1719245172000;CALL;1719242470000;82.28;
SBSPS835;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0C01;False;EUROPEAN;SABESP ON, R$ 82.28, 19-07-2024;82.28;2024-06-22T10:18:38.357Z;0.0;2024-06-22T10:18:38.357Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;PUT;1708531839000;82.28;
SBSPG845;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0C06;False;AMERICAN;SABESP ON, R$ 83.28, 19-07-2024;83.28;2024-06-22T10:18:38.842Z;1.11;2024-06-22T10:18:38.842Z;3029;1.12;1.0;1.0;236.364;2800;1.18;1.1;;7;77.22;0;;;800;800;1719245270000;CALL;1719245161000;83.28;
SBSPS845;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0C27;False;EUROPEAN;SABESP ON, R$ 83.28, 19-07-2024;83.28;2024-06-22T10:18:38.357Z;11.07;2024-06-22T10:18:38.357Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;PUT;1718910934000;83.28;
SBSPG855;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CH4;False;AMERICAN;SABESP ON, R$ 84.28, 19-07-2024;84.28;2024-06-22T10:18:38.840Z;0.94;2024-06-22T10:18:38.840Z;35227;0.95;0.75;0.8;30.556;38400;0.96;0.89;;7;77.17;0;;;800;800;1719245145000;CALL;1719245121000;84.28;
SBSPS855;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CN8;False;EUROPEAN;SABESP ON, R$ 84.28, 19-07-2024;84.28;2024-06-22T10:18:38.356Z;0.0;2024-06-22T10:18:38.356Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;PUT;1708531839000;84.28;
SBSPG860;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0C48;False;EUROPEAN;SABESP ON, R$ 84.78, 19-07-2024;84.78;2024-06-22T10:18:38.841Z;0.84;2024-06-22T10:18:38.841Z;6803;0.99;0.75;0.99;33.333;8700;0.86;0.8;;7;74.85;0;;;800;800;1719245145000;CALL;1719241457000;84.78;
SBSPS860;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0C50;False;EUROPEAN;SABESP ON, R$ 84.78, 19-07-2024;84.78;2024-06-22T10:18:38.356Z;9.7;2024-06-22T10:18:38.356Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719236616000;PUT;1719216367000;84.78;
SBSPG865;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CA9;False;AMERICAN;SABESP ON, R$ 85.28, 19-07-2024;85.28;2024-06-22T10:18:38.841Z;0.76;2024-06-22T10:18:38.841Z;1364;0.77;0.61;0.61;22.581;2000;0.79;0.72;;7;74.85;0;;;800;800;1719245270000;CALL;1719245267000;85.28;
SBSPS865;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CA5;False;EUROPEAN;SABESP ON, R$ 85.28, 19-07-2024;85.28;2024-06-22T10:18:38.356Z;14.31;2024-06-22T10:18:38.356Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;PUT;1718813560000;85.28;
SBSPG875;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0C97;False;AMERICAN;SABESP ON, R$ 86.28, 19-07-2024;86.28;2024-06-22T10:18:38.841Z;0.61;2024-06-22T10:18:38.841Z;343;0.61;0.47;0.47;32.609;700;0.63;0.57;;7;77.16;0;;;800;800;1719245239000;CALL;1719245049000;86.28;
SBSPS875;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CS7;False;EUROPEAN;SABESP ON, R$ 86.28, 19-07-2024;86.28;2024-06-22T10:18:38.356Z;0.0;2024-06-22T10:18:38.356Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;PUT;1708531839000;86.28;
SBSPG880;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BS3;False;EUROPEAN;SABESP ON, R$ 86.78, 19-07-2024;86.78;2024-06-22T10:18:38.841Z;0.2;2024-06-22T10:18:38.841Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;0;0;1719240143000;CALL;1718826099000;86.78;
