symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
CPLEG98;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C27;True;AMERICAN;COPEL PNB, R$ 9.75, 19-07-2024;9.75;2024-06-22T10:18:38.699Z;0.08;2024-06-22T10:18:38.699Z;7750;0.1;0.07;0.08;14.286;95500;0.09;0.07;;7;9.21;0;;;28200;28200;1719245277000;CALL;1719245277000;9.75;;
CPLES98;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BS9;False;EUROPEAN;COPEL PNB, R$ 9.75, 19-07-2024;9.75;2024-06-22T10:18:38.589Z;0.67;2024-06-22T10:18:38.589Z;0;0.0;0.0;0.0;0.0;0;0.0;0.1;;7;9.21;0;;;2200;0;1719244082000;PUT;1718911708000;9.75;;
CPLEG985;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C68;False;EUROPEAN;COPEL PNB, R$ 9.85, 19-07-2024;9.85;2024-06-22T10:18:38.790Z;0.06;2024-06-22T10:18:38.790Z;654;0.08;0.06;0.08;50.0;8800;0.07;0.05;;7;9.21;0;;;33900;33900;1719244788000;CALL;1719243884000;9.85;;
CPLES985;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C55;False;EUROPEAN;COPEL PNB, R$ 9.85, 19-07-2024;9.85;2024-06-22T10:18:38.414Z;0.7;2024-06-22T10:18:38.414Z;0;0.0;0.0;0.0;0.0;0;0.0;0.15;;7;9.21;0;;;200;0;1719244089000;PUT;1718817584000;9.85;;
CPLEG100;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BA1;False;AMERICAN;COPEL PNB, R$ 9.95, 19-07-2024;9.95;2024-06-22T10:18:38.649Z;0.04;2024-06-22T10:18:38.649Z;120;0.06;0.04;0.04;33.333;2400;0.05;0.04;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;58300;200;1719244080000;CALL;1719241660000;9.95;;
CPLES100;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0B72;False;EUROPEAN;COPEL PNB, R$ 9.95, 19-07-2024;9.95;2024-06-22T10:18:38.461Z;0.86;2024-06-22T10:18:38.461Z;0;0.0;0.0;0.0;0.0;0;0.89;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;26600;1719244080000;PUT;1718903012000;9.95;;
CPLEG10;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C50;False;EUROPEAN;COPEL PNB, R$ 10.05, 19-07-2024;10.05;2024-06-22T10:18:38.700Z;0.03;2024-06-22T10:18:38.700Z;110;0.04;0.03;0.04;50.0;3000;0.04;0.03;;7;9.28;0;;;87300;100;1719244089000;CALL;1719242039000;10.05;;
CPLES10;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C63;False;EUROPEAN;COPEL PNB, R$ 10.05, 19-07-2024;10.05;2024-06-22T10:18:38.585Z;0.83;2024-06-22T10:18:38.585Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1719216333000;10.05;;
CPLEG104;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BU9;False;AMERICAN;COPEL PNB, R$ 10.45, 19-07-2024;10.45;2024-06-22T10:18:38.649Z;0.02;2024-06-22T10:18:38.649Z;2;0.02;0.02;0.02;100.0;100;0.02;0.0;;7;9.21;0;;;0;100;1719244082000;CALL;1719238165000;10.45;;
CPLES104;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BQ3;False;EUROPEAN;COPEL PNB, R$ 10.45, 19-07-2024;10.45;2024-06-22T10:18:38.461Z;1.05;2024-06-22T10:18:38.461Z;315;1.05;1.05;1.05;-13.223;300;1.56;0.94;;7;9.34;0;;;200;100;1719244083000;PUT;1719236287000;10.45;;
CPLEG110;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BL8;False;AMERICAN;COPEL PNB, R$ 10.95, 19-07-2024;10.95;2024-06-22T10:18:38.640Z;0.02;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.02;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;10000;1719244080000;CALL;1716827962000;10.95;;
CPLES110;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BK6;False;EUROPEAN;COPEL PNB, R$ 10.95, 19-07-2024;10.95;2024-06-22T10:18:38.460Z;1.52;2024-06-22T10:18:38.460Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1718300358000;10.95;;
CPLEG114;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BT1;False;AMERICAN;COPEL PNB, R$ 11.45, 19-07-2024;11.45;2024-06-22T10:18:38.640Z;0.01;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719244499000;CALL;1717438059000;11.45;;
CPLES114;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BU5;False;EUROPEAN;COPEL PNB, R$ 11.45, 19-07-2024;11.45;2024-06-22T10:18:38.460Z;2.16;2024-06-22T10:18:38.460Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1718719076000;11.45;;
CPLEG120;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BB9;False;AMERICAN;COPEL PNB, R$ 11.95, 19-07-2024;11.95;2024-06-22T10:18:38.640Z;0.0;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1688582413000;11.95;;
CPLES120;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BA7;False;EUROPEAN;COPEL PNB, R$ 11.95, 19-07-2024;11.95;2024-06-22T10:18:38.461Z;2.49;2024-06-22T10:18:38.460Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1718390505000;11.95;;
CPLEG124;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BX3;False;AMERICAN;COPEL PNB, R$ 12.45, 19-07-2024;12.45;2024-06-22T10:18:38.640Z;0.0;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1688582413000;12.45;;
CPLES124;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BX9;False;EUROPEAN;COPEL PNB, R$ 12.45, 19-07-2024;12.45;2024-06-22T10:18:38.460Z;0.0;2024-06-22T10:18:38.460Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;12.45;;
CPLEG130;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0B77;False;AMERICAN;COPEL PNB, R$ 12.95, 19-07-2024;12.95;2024-06-22T10:18:38.640Z;0.0;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1688582413000;12.95;;
CPLES130;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0B64;False;EUROPEAN;COPEL PNB, R$ 12.95, 19-07-2024;12.95;2024-06-22T10:18:38.461Z;0.0;2024-06-22T10:18:38.461Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;12.95;;
CPLEG134;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BZ8;False;AMERICAN;COPEL PNB, R$ 13.45, 19-07-2024;13.45;2024-06-22T10:18:38.640Z;0.0;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1688582413000;13.45;;
