symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;quotation_form;warning
ABEVG980W1;AMBEV S/A ON, R$ 9.80, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;9.8;100;BOVESPA;2024-06-22T10:18:38.458Z;2024-06-22T10:18:38.458Z;0.0;11.28;BRABEV3G0EM6;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;9.8;;;
ABEVS980W1;AMBEV S/A ON, R$ 9.80, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;9.8;100;BOVESPA;2024-06-22T10:18:38.889Z;2024-06-22T10:18:38.889Z;0.0;11.28;BRABEV3S0EL4;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;9.8;;;
ABEVG100W1;AMBEV S/A ON, R$ 10.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;10.0;100;BOVESPA;2024-06-22T10:18:38.703Z;2024-06-22T10:18:38.703Z;0.0;11.28;BRABEV3G0EJ2;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;10.0;;;
ABEVS100W1;AMBEV S/A ON, R$ 10.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-07-05;EUROPEAN;10.0;100;BOVESPA;2024-06-22T10:18:38.396Z;2024-06-22T10:18:38.396Z;0.0;11.28;BRABEV3S0ET7;7;False;2024-07-04;9;;0;115500;1719244141000;PUT;-62167294412000;10.0;;;
ABEVG105W1;AMBEV S/A ON, R$ 10.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-05;AMERICAN;10.5;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;11.28;BRABEV3G0EV7;7;False;2024-07-04;9;;0;0;1719234000000;CALL;-62167294412000;10.5;;;
ABEVS105W1;AMBEV S/A ON, R$ 10.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-07-05;EUROPEAN;10.5;100;BOVESPA;2024-06-22T10:18:38.367Z;2024-06-22T10:18:38.367Z;0.0;11.28;BRABEV3S0EY7;7;True;2024-07-04;9;;0;27200;1719244141000;PUT;-62167294412000;10.5;;;
ABEVG110W1;AMBEV S/A ON, R$ 11.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.41;0.47;CALL;2024-07-05;AMERICAN;11.0;100;BOVESPA;2024-06-22T10:18:38.487Z;2024-06-22T10:18:38.487Z;0.0;11.28;BRABEV3G0EO2;7;True;2024-07-04;9;;7000;7000;1719244141000;CALL;-62167294412000;11.0;;;
ABEVS110W1;AMBEV S/A ON, R$ 11.00, 05-07-2024;0.0;0.0;0.0;0.08;0;0;0;0.03;0.05;PUT;2024-07-05;EUROPEAN;11.0;100;BOVESPA;2024-06-22T10:18:38.870Z;2024-06-22T10:18:38.870Z;0.0;11.28;BRABEV3S0F14;7;True;2024-07-04;9;;115500;27200;1719244141000;PUT;1719216346000;11.0;;;
ABEVG115W1;AMBEV S/A ON, R$ 11.50, 05-07-2024;0.11;0.11;0.1;0.11;6700;732;0;0.1;0.11;CALL;2024-07-05;AMERICAN;11.5;100;BOVESPA;2024-06-22T10:18:38.871Z;2024-06-22T10:18:38.871Z;-21.429;11.28;BRABEV3G0EQ7;7;True;2024-07-04;9;;6600;100;1719244574000;CALL;1719240000000;11.5;;;
ABEVS115W1;AMBEV S/A ON, R$ 11.50, 05-07-2024;0.0;0.0;0.0;0.3;0;0;0;0.2;0.23;PUT;2024-07-05;EUROPEAN;11.5;100;BOVESPA;2024-06-22T10:18:38.935Z;2024-06-22T10:18:38.935Z;0.0;11.28;BRABEV3S0ER1;7;True;2024-07-04;9;;100;7100;1719244141000;PUT;1719216346000;11.5;;;
ABEVG120W1;AMBEV S/A ON, R$ 12.00, 05-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.03;CALL;2024-07-05;AMERICAN;12.0;100;BOVESPA;2024-06-22T10:18:38.983Z;2024-06-22T10:18:38.983Z;0.0;11.28;BRABEV3G0EG8;7;True;2024-07-04;9;;0;115500;1719245143000;CALL;1719216346000;12.0;;;
ABEVS120W1;AMBEV S/A ON, R$ 12.00, 05-07-2024;0.0;0.0;0.0;0.46;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;12.0;100;BOVESPA;2024-06-22T10:18:38.762Z;2024-06-22T10:18:38.762Z;0.0;11.28;BRABEV3S0EZ4;7;False;2024-07-04;9;;0;0;1719239445000;PUT;1718026570000;12.0;;;
ABEVG125W1;AMBEV S/A ON, R$ 12.50, 05-07-2024;0.0;0.0;0.0;0.06;0;0;0;0.0;0.02;CALL;2024-07-05;AMERICAN;12.5;100;BOVESPA;2024-06-22T10:18:38.999Z;2024-06-22T10:18:38.999Z;0.0;11.28;BRABEV3G0EP9;7;True;2024-07-04;9;;0;500;1719244141000;CALL;1717603690000;12.5;;;
ABEVS125W1;AMBEV S/A ON, R$ 12.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;12.5;100;BOVESPA;2024-06-22T10:18:38.724Z;2024-06-22T10:18:38.724Z;0.0;11.28;BRABEV3S0F06;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;12.5;;;
ABEVG130W1;AMBEV S/A ON, R$ 13.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.01;CALL;2024-07-05;AMERICAN;13.0;100;BOVESPA;2024-06-22T10:18:38.827Z;2024-06-22T10:18:38.827Z;0.0;11.28;BRABEV3G0EY1;7;False;2024-07-04;9;;0;400;1719244141000;CALL;-62167294412000;13.0;;;
ABEVS130W1;AMBEV S/A ON, R$ 13.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;13.0;100;BOVESPA;2024-06-22T10:18:38.543Z;2024-06-22T10:18:38.543Z;0.0;11.28;BRABEV3S0EK6;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;13.0;;;
ABEVG135W1;AMBEV S/A ON, R$ 13.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.01;CALL;2024-07-05;AMERICAN;13.5;100;BOVESPA;2024-06-22T10:18:38.846Z;2024-06-22T10:18:38.846Z;0.0;11.28;BRABEV3G0EH6;7;False;2024-07-04;9;;0;100;1719244141000;CALL;-62167294412000;13.5;;;
ABEVS135W1;AMBEV S/A ON, R$ 13.50, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-05;EUROPEAN;13.5;100;BOVESPA;2024-06-22T10:18:38.517Z;2024-06-22T10:18:38.517Z;0.0;11.28;BRABEV3S0EV3;7;False;2024-07-04;9;;0;0;1719234000000;PUT;-62167294412000;13.5;;;
ABEVG140W1;AMBEV S/A ON, R$ 14.00, 05-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;CALL;2024-07-05;AMERICAN;14.0;100;BOVESPA;2024-06-22T10:18:38.633Z;2024-06-22T10:18:38.633Z;0.0;11.28;BRABEV3G0EZ8;7;False;2024-07-04;9;;0;100;1719244141000;CALL;-62167294412000;14.0;;;
