symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning;quotation_form
RENTG462;LOCALIZA ON, R$ 45.92, 19-07-2024;0.0;0.0;0.0;0.19;0;0;0;0.25;0.32;CALL;2024-07-19;EUROPEAN;45.92;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;0.0;41.7;BRRENT3G0DY6;7;False;2024-07-18;19;;7100;7100;1719245212000;CALL;1719216329000;45.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS462;LOCALIZA ON, R$ 45.92, 19-07-2024;0.0;0.0;0.0;4.13;0;0;0;3.45;3.71;PUT;2024-07-19;EUROPEAN;45.92;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0E81;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719216329000;45.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG465;LOCALIZA ON, R$ 46.17, 19-07-2024;0.2;0.27;0.2;0.21;11300;2615;0;0.21;0.25;CALL;2024-07-19;AMERICAN;46.17;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;10.526;41.7;BRRENT3G0F36;7;False;2024-07-18;19;;45700;500;1719244892000;CALL;1719239198000;46.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS465;LOCALIZA ON, R$ 46.17, 19-07-2024;0.0;0.0;0.0;4.8;0;0;0;3.59;3.98;PUT;2024-07-19;EUROPEAN;46.17;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0ER4;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719216330000;46.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG467;LOCALIZA ON, R$ 46.42, 19-07-2024;0.22;0.22;0.22;0.22;1000;220;0;0.18;0.24;CALL;2024-07-19;EUROPEAN;46.42;100;BOVESPA;2024-06-22T10:18:38.725Z;2024-06-22T10:18:38.725Z;69.231;41.7;BRRENT3G0E94;7;False;2024-07-18;19;;45700;7100;1719244760000;CALL;1719236625000;46.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS467;LOCALIZA ON, R$ 46.42, 19-07-2024;3.8;4.03;3.8;4.03;300;1167;0;3.87;4.19;PUT;2024-07-19;EUROPEAN;46.42;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;15.143;41.7;BRRENT3S0E73;7;False;2024-07-18;19;;100;900;1719245296000;PUT;1719237358000;46.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG470;LOCALIZA ON, R$ 46.67, 19-07-2024;0.23;0.23;0.15;0.16;7600;1375;0;0.15;0.2;CALL;2024-07-19;AMERICAN;46.67;100;BOVESPA;2024-06-22T10:18:38.726Z;2024-06-22T10:18:38.726Z;33.333;41.7;BRRENT3G0E45;7;False;2024-07-18;19;;7100;7100;1719244947000;CALL;1719242017000;46.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS470;LOCALIZA ON, R$ 46.67, 19-07-2024;0.0;0.0;0.0;5.92;0;0;0;4.04;4.37;PUT;2024-07-19;EUROPEAN;46.67;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0E32;7;False;2024-07-18;19;;200;1000;1719245266000;PUT;1718386686000;46.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG472;LOCALIZA ON, R$ 46.92, 19-07-2024;0.12;0.18;0.12;0.15;47900;7994;0;0.13;0.16;CALL;2024-07-19;EUROPEAN;46.92;100;BOVESPA;2024-06-22T10:18:38.726Z;2024-06-22T10:18:38.726Z;50.0;42.41;BRRENT3G0F51;7;False;2024-07-18;19;;7100;500;1719245274000;CALL;1719243893000;46.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS472;LOCALIZA ON, R$ 46.92, 19-07-2024;4.64;4.64;4.64;4.64;100;464;0;4.31;4.64;PUT;2024-07-19;EUROPEAN;46.92;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;-8.3;42.38;BRRENT3S0EH5;7;False;2024-07-18;19;;100;900;1719245296000;PUT;1719244371000;46.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG475;LOCALIZA ON, R$ 47.17, 19-07-2024;0.0;0.0;0.0;0.05;0;0;0;0.1;0.15;CALL;2024-07-19;AMERICAN;47.17;100;BOVESPA;2024-06-22T10:18:38.726Z;2024-06-22T10:18:38.726Z;0.0;41.7;BRRENT3G0EB2;7;False;2024-07-18;19;;7100;1000;1719243474000;CALL;1719216330000;47.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS475;LOCALIZA ON, R$ 47.17, 19-07-2024;0.0;0.0;0.0;7.45;0;0;0;4.48;4.86;PUT;2024-07-19;EUROPEAN;47.17;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0F80;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718901582000;47.17;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG477;LOCALIZA ON, R$ 47.42, 19-07-2024;0.0;0.0;0.0;0.08;0;0;0;0.09;0.14;CALL;2024-07-19;EUROPEAN;47.42;100;BOVESPA;2024-06-22T10:18:38.726Z;2024-06-22T10:18:38.726Z;0.0;41.7;BRRENT3G0F28;7;False;2024-07-18;19;;7100;7100;1719245259000;CALL;1718300794000;47.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS477;LOCALIZA ON, R$ 47.42, 19-07-2024;0.0;0.0;0.0;6.28;0;0;0;4.77;5.09;PUT;2024-07-19;EUROPEAN;47.42;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0F07;7;False;2024-07-18;19;;100;1000;1719245312000;PUT;1718891505000;47.42;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG480;LOCALIZA ON, R$ 47.67, 19-07-2024;0.08;0.1;0.08;0.09;10400;986;0;0.07;0.1;CALL;2024-07-19;AMERICAN;47.67;100;BOVESPA;2024-06-22T10:18:38.726Z;2024-06-22T10:18:38.726Z;28.571;42.2;BRRENT3G0E03;7;False;2024-07-18;19;;7100;2000;1719243525000;CALL;1719238873000;47.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS480;LOCALIZA ON, R$ 47.67, 19-07-2024;0.0;0.0;0.0;7.55;0;0;0;4.94;5.28;PUT;2024-07-19;EUROPEAN;47.67;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0DT2;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1718822184000;47.67;16670085000155;2024-04-03T01:30:34.768Z;;
RENTG482;LOCALIZA ON, R$ 47.92, 19-07-2024;0.0;0.0;0.0;0.03;0;0;0;0.06;0.1;CALL;2024-07-19;EUROPEAN;47.92;100;BOVESPA;2024-06-22T10:18:38.726Z;2024-06-22T10:18:38.726Z;0.0;41.7;BRRENT3G0EA4;7;False;2024-07-18;19;;45700;7100;1719243893000;CALL;1718739713000;47.92;16670085000155;2024-04-03T01:30:34.768Z;;
RENTS482;LOCALIZA ON, R$ 47.92, 19-07-2024;0.0;0.0;0.0;6.44;0;0;0;5.24;5.57;PUT;2024-07-19;EUROPEAN;47.92;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;41.7;BRRENT3S0F98;7;False;2024-07-18;19;;100;1000;1719245296000;PUT;1719216330000;47.92;16670085000155;2024-04-03T01:30:34.768Z;;
