symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
LRENS163;LOJAS RENNERON, R$ 16.37, 19-07-2024;3.5;3.5;3.5;3.5;100;350;0;3.62;0.0;PUT;2024-07-19;EUROPEAN;16.37;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;-7.895;12.53;BRLREN3S0IQ4;7;False;2024-07-18;19;;100;0;1719245205000;PUT;1719236222000;16.37;;;
LRENG166;LOJAS RENNERON, R$ 16.62, 19-07-2024;0.02;0.02;0.02;0.02;1000;20;0;0.01;0.02;CALL;2024-07-19;EUROPEAN;16.62;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IB0;7;False;2024-07-18;19;;5600;87100;1719244063000;CALL;1719235231000;16.62;;;
LRENS166;LOJAS RENNERON, R$ 16.62, 19-07-2024;0.0;0.0;0.0;4.0;0;0;0;3.89;0.0;PUT;2024-07-19;EUROPEAN;16.62;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;0.0;12.53;BRLREN3S0IB6;7;False;2024-07-18;19;;100;0;1719245205000;PUT;1719216321000;16.62;;;
LRENG168;LOJAS RENNERON, R$ 16.87, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.01;0.02;CALL;2024-07-19;AMERICAN;16.87;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IC8;7;False;2024-07-18;19;;14900;130800;1719244063000;CALL;1719216321000;16.87;;;
LRENS168;LOJAS RENNERON, R$ 16.87, 19-07-2024;0.0;0.0;0.0;4.29;0;0;0;4.11;4.3;PUT;2024-07-19;EUROPEAN;16.87;100;BOVESPA;2024-06-22T10:18:38.337Z;2024-06-22T10:18:38.337Z;0.0;12.53;BRLREN3S0IC4;7;False;2024-07-18;19;;100;100;1719245205000;PUT;1719216321000;16.87;;;
LRENG173;LOJAS RENNERON, R$ 17.37, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;17.37;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IE4;7;False;2024-07-18;19;;0;2000;1719244064000;CALL;1718637498000;17.37;;;
LRENS173;LOJAS RENNERON, R$ 17.37, 19-07-2024;0.0;0.0;0.0;4.65;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;17.37;100;BOVESPA;2024-06-22T10:18:38.336Z;2024-06-22T10:18:38.336Z;0.0;12.53;BRLREN3S0IE0;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718895803000;17.37;;;
LRENG178;LOJAS RENNERON, R$ 17.87, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;17.87;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IK1;7;False;2024-07-18;19;;0;2000;1719244064000;CALL;1718820934000;17.87;;;
LRENS178;LOJAS RENNERON, R$ 17.87, 19-07-2024;0.0;0.0;0.0;5.38;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;17.87;100;BOVESPA;2024-06-22T10:18:38.336Z;2024-06-22T10:18:38.336Z;0.0;12.53;BRLREN3S0IZ5;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718811241000;17.87;;;
LRENG183;LOJAS RENNERON, R$ 18.37, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.03;CALL;2024-07-19;AMERICAN;18.37;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0ID6;7;False;2024-07-18;19;;0;1700;1719244063000;CALL;1718219096000;18.37;;;
