symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;warning
PETRR352W4;PETROBRAS PN, R$ 34.30, 28-06-2024;0.04;0.04;0.04;0.04;20000;800;0;0.03;0.05;PUT;2024-06-28;EUROPEAN;34.3;100;BOVESPA;2024-06-22T10:18:38.724Z;2024-06-22T10:18:38.724Z;-20.0;36.67;BRPETR4R19S3;7;False;2024-06-27;4;;30000;301500;1719244423000;PUT;1719244423000;34.3;;;;
PETRF355W4;PETROBRAS PN, R$ 34.55, 28-06-2024;2.25;2.25;2.17;2.17;1100;2449;0;2.0;2.59;CALL;2024-06-28;AMERICAN;34.55;100;BOVESPA;2024-06-22T10:18:38.714Z;2024-06-22T10:18:38.714Z;-5.652;36.72;BRPETR4F17V6;7;False;2024-06-27;4;;100;500;1719242649000;CALL;1719242649000;34.55;;;;
PETRR355W4;PETROBRAS PN, R$ 34.55, 28-06-2024;0.0;0.0;0.0;0.04;0;0;0;0.04;0.06;PUT;2024-06-28;EUROPEAN;34.55;100;BOVESPA;2024-06-22T10:18:38.729Z;2024-06-22T10:18:38.729Z;0.0;36.72;BRPETR4R18F2;7;False;2024-06-27;4;;100;234200;1719242812000;PUT;1719216333000;34.55;;;;
PETRF357W4;PETROBRAS PN, R$ 34.80, 28-06-2024;0.0;0.0;0.0;2.07;0;0;0;1.75;0.0;CALL;2024-06-28;EUROPEAN;34.8;100;BOVESPA;2024-06-22T10:18:38.759Z;2024-06-22T10:18:38.759Z;0.0;36.72;BRPETR4F1924;7;False;2024-06-27;4;;100;0;1719234000000;CALL;1719216334000;34.8;;;;
PETRR357W4;PETROBRAS PN, R$ 34.80, 28-06-2024;0.07;0.07;0.05;0.05;20100;1301;0;0.04;0.07;PUT;2024-06-28;EUROPEAN;34.8;100;BOVESPA;2024-06-22T10:18:38.740Z;2024-06-22T10:18:38.740Z;-61.538;36.72;BRPETR4R19G8;7;False;2024-06-27;4;;179600;179600;1719242812000;PUT;1719237701000;34.8;;;;
PETRF360W4;PETROBRAS PN, R$ 35.05, 28-06-2024;1.93;1.93;1.7;1.7;2500;4710;0;1.52;2.13;CALL;2024-06-28;AMERICAN;35.05;100;BOVESPA;2024-06-22T10:18:38.665Z;2024-06-22T10:18:38.665Z;-6.593;36.6;BRPETR4F18Q4;7;False;2024-06-27;4;;800;1000;1719243486000;CALL;1719243486000;35.05;;;;
PETRR360W4;PETROBRAS PN, R$ 35.05, 28-06-2024;0.04;0.07;0.04;0.07;8700;603;0;0.05;0.08;PUT;2024-06-28;EUROPEAN;35.05;100;BOVESPA;2024-06-22T10:18:38.600Z;2024-06-22T10:18:38.600Z;-30.0;36.72;BRPETR4R18W7;7;False;2024-06-27;4;;5000;140400;1719244692000;PUT;1719241959000;35.05;;;;
PETRF362W4;PETROBRAS PN, R$ 35.30, 28-06-2024;1.25;1.44;1.25;1.44;4100;5144;0;1.32;0.0;CALL;2024-06-28;EUROPEAN;35.3;100;BOVESPA;2024-06-22T10:18:38.703Z;2024-06-22T10:18:38.703Z;-7.097;36.61;BRPETR4F19O7;7;False;2024-06-27;4;;500;0;1719242978000;CALL;1719242405000;35.3;;;;
PETRR362W4;PETROBRAS PN, R$ 35.30, 28-06-2024;0.0;0.0;0.0;0.1;0;0;0;0.07;0.1;PUT;2024-06-28;EUROPEAN;35.3;100;BOVESPA;2024-06-22T10:18:38.612Z;2024-06-22T10:18:38.612Z;0.0;36.72;BRPETR4R1A25;7;False;2024-06-27;4;;106000;10000;1719244874000;PUT;1719216334000;35.3;;;;
PETRF365W4;PETROBRAS PN, R$ 35.55, 28-06-2024;1.25;1.25;1.25;1.25;600;750;0;1.12;1.67;CALL;2024-06-28;AMERICAN;35.55;100;BOVESPA;2024-06-22T10:18:38.532Z;2024-06-22T10:18:38.532Z;-8.759;36.66;BRPETR4F18S0;7;False;2024-06-27;4;;800;1000;1719243060000;CALL;1719242975000;35.55;;;;
PETRR365W4;PETROBRAS PN, R$ 35.55, 28-06-2024;0.11;0.12;0.08;0.11;52600;5258;0;0.1;0.11;PUT;2024-06-28;EUROPEAN;35.55;100;BOVESPA;2024-06-22T10:18:38.525Z;2024-06-22T10:18:38.525Z;-8.333;36.72;BRPETR4R18I6;7;False;2024-06-27;4;;500;20000;1719244739000;PUT;1719243618000;35.55;;;;
PETRF367W4;PETROBRAS PN, R$ 35.80, 28-06-2024;1.06;1.06;1.0;1.05;3000;3110;0;0.92;0.0;CALL;2024-06-28;EUROPEAN;35.8;100;BOVESPA;2024-06-22T10:18:38.517Z;2024-06-22T10:18:38.517Z;-8.696;36.66;BRPETR4F1916;7;False;2024-06-27;4;;1000;0;1719244983000;CALL;1719244280000;35.8;;;;
PETRR367W4;PETROBRAS PN, R$ 35.80, 28-06-2024;0.14;0.17;0.12;0.14;18900;2905;0;0.14;0.15;PUT;2024-06-28;EUROPEAN;35.8;100;BOVESPA;2024-06-22T10:18:38.526Z;2024-06-22T10:18:38.526Z;0.0;36.65;BRPETR4R19J2;7;False;2024-06-27;4;;1000;100;1719245021000;PUT;1719244976000;35.8;;;;
PETRF370W4;PETROBRAS PN, R$ 36.05, 28-06-2024;0.92;0.92;0.82;0.82;900;797;0;0.65;1.19;CALL;2024-06-28;AMERICAN;36.05;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;-8.889;36.72;BRPETR4F18A8;7;False;2024-06-27;4;;5000;100;1719244030000;CALL;1719242386000;36.05;;;;
PETRR370W4;PETROBRAS PN, R$ 36.05, 28-06-2024;0.15;0.23;0.15;0.2;91400;19442;0;0.19;0.21;PUT;2024-06-28;EUROPEAN;36.05;100;BOVESPA;2024-06-22T10:18:38.378Z;2024-06-22T10:18:38.378Z;5.263;36.63;BRPETR4R18J4;7;False;2024-06-27;4;;500;500;1719242736000;PUT;1719242736000;36.05;;;;
PETRF372W4;PETROBRAS PN, R$ 36.30, 28-06-2024;0.84;0.84;0.72;0.72;700;558;0;0.51;0.75;CALL;2024-06-28;EUROPEAN;36.3;100;BOVESPA;2024-06-22T10:18:38.475Z;2024-06-22T10:18:38.475Z;-4.0;36.75;BRPETR4F18W2;7;False;2024-06-27;4;;1000;100;1719245242000;CALL;1719235663000;36.3;;;;
PETRR372W4;PETROBRAS PN, R$ 36.30, 28-06-2024;0.25;0.28;0.19;0.27;14500;3409;0;0.24;0.28;PUT;2024-06-28;EUROPEAN;36.3;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;8.0;36.64;BRPETR4R1A17;7;False;2024-06-27;4;;30600;30000;1719245242000;PUT;1719245180000;36.3;;;;
PETRF375W4;PETROBRAS PN, R$ 36.55, 28-06-2024;0.34;0.7;0.34;0.5;64000;34905;0;0.45;0.6;CALL;2024-06-28;AMERICAN;36.55;100;BOVESPA;2024-06-22T10:18:38.501Z;2024-06-22T10:18:38.501Z;-13.793;36.65;BRPETR4F18H3;7;False;2024-06-27;4;;500;100;1719245241000;CALL;1719242881000;36.55;;;;
PETRR375W4;PETROBRAS PN, R$ 36.55, 28-06-2024;0.31;0.43;0.27;0.37;346900;109567;0;0.32;0.37;PUT;2024-06-28;EUROPEAN;36.55;100;BOVESPA;2024-06-22T10:18:38.410Z;2024-06-22T10:18:38.410Z;8.824;36.72;BRPETR4R18M8;7;False;2024-06-27;4;;23500;23200;1719245251000;PUT;1719241567000;36.55;;;;
PETRF377W4;PETROBRAS PN, R$ 36.80, 28-06-2024;0.66;0.66;0.32;0.37;121200;54561;0;0.32;0.38;CALL;2024-06-28;EUROPEAN;36.8;100;BOVESPA;2024-06-22T10:18:38.493Z;2024-06-22T10:18:38.493Z;-13.953;36.72;BRPETR4F19P4;7;False;2024-06-27;4;;100;100;1719245002000;CALL;1719244392000;36.8;;;;
PETRR377W4;PETROBRAS PN, R$ 36.80, 28-06-2024;0.41;0.51;0.22;0.51;56000;24907;0;0.36;0.5;PUT;2024-06-28;EUROPEAN;36.8;100;BOVESPA;2024-06-22T10:18:38.317Z;2024-06-22T10:18:38.317Z;13.333;36.72;BRPETR4R19F0;7;False;2024-06-27;4;;100;700;1719245259000;PUT;1719240500000;36.8;;;;
PETRF380W4;PETROBRAS PN, R$ 37.05, 28-06-2024;0.34;0.37;0.21;0.23;106600;28818;0;0.24;0.27;CALL;2024-06-28;AMERICAN;37.05;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;-20.69;36.72;BRPETR4F18N1;7;False;2024-06-27;4;;28300;100;1719245242000;CALL;1719245220000;37.05;;;;
PETRR380W4;PETROBRAS PN, R$ 37.05, 28-06-2024;0.58;0.64;0.48;0.6;4000;2199;0;0.52;0.93;PUT;2024-06-28;EUROPEAN;37.05;100;BOVESPA;2024-06-22T10:18:38.978Z;2024-06-22T10:18:38.978Z;0.0;36.62;BRPETR4R1904;7;False;2024-06-27;4;;100;100;1719241651000;PUT;1719241648000;37.05;;;;
