symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
BRFSL220;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0I37;False;AMERICAN;BRF SA ON, R$ 22.00, 20-12-2024;22.0;2024-06-22T10:18:38.510Z;0.0;2024-06-22T10:18:38.510Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1716998589000;22.0;UPGRADE REQUIRED!!!;
BRFSX220;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0I32;False;EUROPEAN;BRF SA ON, R$ 22.00, 20-12-2024;22.0;2024-06-22T10:18:38.362Z;0.0;2024-06-22T10:18:38.362Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1686684137000;22.0;UPGRADE REQUIRED!!!;
BRFSL230;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0KE0;False;AMERICAN;BRF SA ON, R$ 23.00, 20-12-2024;23.0;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1718025991000;23.0;UPGRADE REQUIRED!!!;
BRFSX230;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0K61;False;EUROPEAN;BRF SA ON, R$ 23.00, 20-12-2024;23.0;2024-06-22T10:18:38.362Z;0.0;2024-06-22T10:18:38.362Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;23.0;UPGRADE REQUIRED!!!;
BRFSL240;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0IB0;False;AMERICAN;BRF SA ON, R$ 24.00, 20-12-2024;24.0;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1718025822000;24.0;UPGRADE REQUIRED!!!;
BRFSX240;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0IB6;False;EUROPEAN;BRF SA ON, R$ 24.00, 20-12-2024;24.0;2024-06-22T10:18:38.361Z;0.0;2024-06-22T10:18:38.361Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.84;0;0;0;1719235939000;PUT;1719235939000;24.0;UPGRADE REQUIRED!!!;
BRFSL245;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0K82;False;AMERICAN;BRF SA ON, R$ 24.50, 20-12-2024;24.5;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;24.5;UPGRADE REQUIRED!!!;
BRFSX245;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0K46;False;EUROPEAN;BRF SA ON, R$ 24.50, 20-12-2024;24.5;2024-06-22T10:18:38.361Z;0.0;2024-06-22T10:18:38.361Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1686684137000;24.5;UPGRADE REQUIRED!!!;
BRFSL255;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0KC4;False;AMERICAN;BRF SA ON, R$ 25.50, 20-12-2024;25.5;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;25.5;UPGRADE REQUIRED!!!;
BRFSX255;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0K38;False;EUROPEAN;BRF SA ON, R$ 25.50, 20-12-2024;25.5;2024-06-22T10:18:38.361Z;0.0;2024-06-22T10:18:38.361Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;25.5;UPGRADE REQUIRED!!!;
BRFSL260;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0I78;False;AMERICAN;BRF SA ON, R$ 26.00, 20-12-2024;26.0;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719244076000;CALL;1718889105000;26.0;UPGRADE REQUIRED!!!;
BRFSX260;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0I81;False;EUROPEAN;BRF SA ON, R$ 26.00, 20-12-2024;26.0;2024-06-22T10:18:38.361Z;0.0;2024-06-22T10:18:38.361Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1686684137000;26.0;UPGRADE REQUIRED!!!;
BRFSL270;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0KD2;False;AMERICAN;BRF SA ON, R$ 27.00, 20-12-2024;27.0;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1686684137000;27.0;UPGRADE REQUIRED!!!;
BRFSX270;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0K79;False;EUROPEAN;BRF SA ON, R$ 27.00, 20-12-2024;27.0;2024-06-22T10:18:38.361Z;0.0;2024-06-22T10:18:38.361Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1702474902000;27.0;UPGRADE REQUIRED!!!;
BRFSL280;2024-12-19;CALL;100;128;2024-12-20;BOVESPA;BRBRFS3L0I86;False;AMERICAN;BRF SA ON, R$ 28.00, 20-12-2024;28.0;2024-06-22T10:18:38.509Z;0.0;2024-06-22T10:18:38.509Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719244076000;CALL;1716214784000;28.0;UPGRADE REQUIRED!!!;
BRFSX280;2024-12-19;PUT;100;128;2024-12-20;BOVESPA;BRBRFS3X0IC4;False;EUROPEAN;BRF SA ON, R$ 28.00, 20-12-2024;28.0;2024-06-22T10:18:38.361Z;0.0;2024-06-22T10:18:38.361Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1686684137000;28.0;UPGRADE REQUIRED!!!;
